id,swedish_proverb,literal_meaning,arabic_equivalent,verb,verb_translation,verb_infinitive,verb_present,verb_past,verb_supine
1,"Bättre en fågel i handen än tio i skogen","عصفور في اليد خير من عشرة في الغابة","عصفور في اليد خير من عشرة على الشجرة","Ha","يملك","Ha","Har","Hade","Haft"
2,"Den som väntar på något gott väntar aldrig för länge","من ينتظر شيئاً جيداً لا ينتظر طويلاً أبداً","كل تأخيرة فيها خيرة / الصبر مفتاح الفرج","Vänta","ينتظر","Vänta","Väntar","Väntade","Väntat"
3,"Man ska inte sälja skinnet förrän björnen är skjuten","لا تبع الفرو قبل أن يُقتل الدب","لا تقول فول حتى يصير بالمكيال","Sälja","يبيع","Sälja","Säljer","Sålde","Sålt"
4,"Det finns inget dåligt väder, bara dåliga kläder","لا يوجد طقس سيء، توجد فقط ملابس سيئة","الشاطرة تغزل برجل حمار","Finnas","يوجد","Finnas","Finns","Fanns","Funnits"
5,"Tala är silver, tiga är guld","الكلام من فضة، والسكوت من ذهب","إذا كان الكلام من فضة فالسكوت من ذهب","Tiga","يصمت","Tiga","Tiger","Teg","Tigit"
6,"Små grytor har också öron","القدور الصغيرة لها آذان أيضاً","الحيطان لها آذان","Ha","يملك","Ha","Har","Hade","Haft"
7,"När katten är borta dansar råttorna på bordet","عندما يغيب القط ترقص الفئران على الطاولة","غاب القط العب يا فار","Dansa","يرقص","Dansa","Dansar","Dansade","Dansat"
8,"Bränt barn skyr elden","الطفل المحروق يتجنب النار","اللي يتلسع من الشوربة ينفخ في الزبادي","Sky","يتجنب","Sky","Skyr","Skydde","Skytt"
9,"Som man bäddar får man ligga","كما ترتب سريرك ستستلقي عليه","الجزاء من جنس العمل / طباخ السم بيدوقه","Bädda","يرتب السرير","Bädda","Bäddar","Bäddade","Bäddat"
10,"Alla vägar bär till Rom","كل الطرق تؤدي إلى روما","كل الدروب تودي ع الطاحون","Bära","يحمل / يؤدي","Bära","Bär","Bar","Burit"
11,"En svala gör ingen sommar","سنونوة واحدة لا تصنع الصيف","زهرة واحدة لا تصنع الربيع","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
12,"Äpplet faller inte långt från trädet","التفاحة لا تسقط بعيداً عن الشجرة","ابن البط عوام / من شابه أباه فما ظلم","Falla","يسقط","Falla","Faller","Föll","Fallit"
13,"Många bäckar små gör en stor å","الكثير من الجداول الصغيرة تصنع نهراً كبيراً","الحصاة تسند الخابية / قطرة قطرة بتعمل غدير","Göra","يصنع","Göra","Gör","Gjorde","Gjort"
14,"Nöden har ingen lag","الضرورة ليس لها قانون","للضرورة أحكام / الضرورات تبيح المحظورات","Ha","يملك","Ha","Har","Hade","Haft"
15,"Rom byggdes inte på en dag","روما لم تُبنَ في يوم واحد","الصبر جميل / طول بالك","Bygga","يبني","Bygga","Bygger","Byggde","Byggt"
16,"Lika barn leka bäst","الأطفال المتشابهون يلعبون بشكل أفضل","الطيور على أشكالها تقع","Leka","يلعب","Leka","Leker","Lekte","Lekt"
17,"Kärt barn har många namn","الطفل المحبوب له أسماء كثيرة","الشيء المحبوب له ألقاب كثيرة","Ha","يملك","Ha","Har","Hade","Haft"
18,"Dra alla över en kam","سحب الجميع فوق مشط واحد (التعميم)","يساوي بين الصالح والطالح","Dra","يسحب","Dra","Drar","Drog","Dragit"
19,"Kasta inte sten i glashus","لا ترمِ الحجارة في بيت من زجاج","اللي بيته من زجاج ما يرميش الناس بالطوب","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
20,"Det var droppen som fick bägaren att rinna över","كانت تلك القطرة التي جعلت الكأس تفيض","القشة التي قصمت ظهر البعير","Rinna","يسيل","Rinna","Rinner","Rann","Runnit"
21,"Gräset är alltid grönare på andra sidan","العشب دائماً أكثر اخضراراً على الجانب الآخر","مزمار الحي لا يطرب / عينك على ما في يد غيرك","Vara","يكون","Vara","Är","Var","Varit"
22,"Man ska inte ropa hej förrän man är över bäcken","لا تصرخ 'هاي' فرحاً قبل أن تعبر الجدول","لا تقول فول حتى يصير بالمكيال","Ropa","ينادي","Ropa","Ropar","Ropade","Ropat"
23,"Skrattar bäst som skrattar sist","يضحك أفضل من يضحك أخيراً","من يضحك أخيراً يضحك كثيراً","Skratta","يضحك","Skratta","Skrattar","Skrattade","Skrattat"
24,"Bättre sent än aldrig","أن تأتي متأخراً خير من ألا تأتي أبداً","أن تصل متأخراً خير من ألا تصل","Komma","يأتي","Komma","Kommer","Kom","Kommit"
25,"Den enes död är den andres bröd","موت أحدهم هو خبز للآخر","مصائب قوم عند قوم فوائد","Vara","يكون","Vara","Är","Var","Varit"
26,"Har man tagit fan i båten får man ro honom i land","إذا أخذت الشيطان في القارب عليك أن تجذف به إلى البر","جنت على نفسها براقش","Ro","يجذف","Ro","Ror","Rodde","Rott"
27,"Gammal kärlek rostar aldrig","الحب القديم لا يصدأ أبداً","الحب القديم لا يبلى","Rosta","يصدأ","Rosta","Rostar","Rostade","Rostat"
28,"Det är mänskligt att fela","من الإنسانية أن نخطئ","كل ابن آدم خطاء / جل من لا يسهو","Fela","يخطئ","Fela","Felar","Felade","Felat"
29,"Hungern är den bästa kryddan","الجوع هو أفضل التوابل","الجوع أطيب طباخ","Vara","يكون","Vara","Är","Var","Varit"
30,"I mörkret är alla katter grå","في الظلام كل القطط رمادية","في الظلام تتشابه القطط / يختلط الحابل بالنابل","Vara","يكون","Vara","Är","Var","Varit"
31,"Kläderna gör mannen","الملابس تصنع الرجل","الناس بالمظاهر / اللبس يعطي هيبة","Göra","يجعل","Göra","Gör","Gjorde","Gjort"
32,"Liten tuva stjälper ofta stort lass","كومة عشب صغيرة غالباً ما تقلب حمولة كبيرة","معظم النار من مستصغر الشرر","Stjälpa","يقلب","Stjälpa","Stjälper","Stjälpte","Stjälpt"
33,"Man hör vad man vill höra","المرء يسمع ما يريد سماعه","تسمع ما تحب أن تسمع","Höra","يسمع","Höra","Hör","Hörde","Hört"
34,"Morgonstund har guld i mun","ساعة الصباح تملك ذهباً في فمها","البركة في البكور / يا فتاح يا عليم","Ha","يملك","Ha","Har","Hade","Haft"
35,"Nära skjuter ingen hare","القريب (من الهدف) لا يصيب الأرنب","القرب لا يصيب الهدف","Skjuta","يطلق النار","Skjuta","Skjuter","Sköt","Skjutit"
36,"Om blickar kunde döda","لو كانت النظرات تقتل","لو النظرات تقتل لصرت في عداد الموتى","Döda","يقتل","Döda","Dödar","Dödade","Dödat"
37,"Själv är bästa dräng","المرء نفسه هو أفضل خادم","ما حك جلدك مثل ظفرك","Vara","يكون","Vara","Är","Var","Varit"
38,"Smaken är som baken, delad","الذوق مثل المؤخرة، مقسوم","لولا اختلاف الأذواق لبارت السلع","Vara","يكون","Vara","Är","Var","Varit"
39,"Stillhetens vatten har det djupaste grundet","المياه الساكنة لها أعمق قاع","تحت السواهي دواهي","Ha","يملك","Ha","Har","Hade","Haft"
40,"Tiden läker alla sår","الوقت يشفي كل الجروح","الزمن دواء لكل داء","Läka","يشفي","Läka","Läker","Läkte","Läkt"
41,"Var fågel sjunger efter sin näbb","كل طائر يغني حسب منقاره","كل يغني على ليلاه","Sjunga","يغني","Sjunga","Sjunger","Sjöng","Sjungit"
42,"Ärlighet varar längst","الصدق يدوم أطول","الصدق منجاة / حبل الكذب قصير","Vara","يدوم","Vara","Varar","Varade","Varat"
43,"Övning ger färdighet","التمرين يعطي المهارة","التكرار يعلم الشطار / في الحركة بركة","Ge","يعطي","Ge","Ger","Gav","Gett"
44,"Borta bra men hemma bäst","الغربة جيدة لكن الوطن أفضل","ما في مثل الوطن","Vara","يكون","Vara","Är","Var","Varit"
45,"Det man inte vet mår man inte dåligt av","ما لا تعرفه لا يجعلك تشعر بالسوء","الجهل نعمة","Veta","يعرف","Veta","Vet","Visste","Vetat"
46,"Ju fler kockar desto sämre soppa","كلما كثر الطهاة ساء الحساء","كثرة الطباخين تحرق الطبخة","Vara","يكون","Vara","Är","Var","Varit"
47,"Gå som katten kring het gröt","يمشي مثل القط حول العصيدة الساخنة","يحوم حول الحمى / يلف ويدور","Gå","يمشي","Gå","Går","Gick","Gått"
48,"Ingen rök utan eld","لا دخان بدون نار","لا دخان بلا نار","Finnas","يوجد","Finnas","Finns","Fanns","Funnits"
49,"Lätt fånget, lätt förgånget","تم اصطياده بسهولة، ضاع بسهولة","ما يأتي بسهولة يذهب بسهولة","Fånga","يصطاد","Fånga","Fångar","Fångade","Fångat"
50,"Vägen till mannens hjärta går genom magen","الطريق إلى قلب الرجل يمر عبر معدته","أقرب طريق لقلب الرجل معدته","Gå","يمشي","Gå","Går","Gick","Gått"
51,"Av skadan blir man vis","من الضرر يصبح المرء حكيماً","رب ضارة نافعة / التعلم من الأخطاء","Bli","يصبح","Bli","Blir","Blev","Blivit"
52,"Den som gräver en grop åt andra faller ofta själv däri","من يحفر حفرة للآخرين غالباً ما يسقط فيها بنفسه","من حفر حفرة لأخيه وقع فيها","Falla","يسقط","Falla","Faller","Föll","Fallit"
53,"En olycka kommer sällan ensam","المصيبة نادراً ما تأتي وحيدة","المصائب لا تأتي فرادى","Komma","يأتي","Komma","Kommer","Kom","Kommit"
54,"Bättre brödlös än rådlös","أن تكون بلا خبز خير من أن تكون بلا حيلة","الجوع ولا الحيرة / العقل زينة","Vara","يكون","Vara","Är","Var","Varit"
55,"Det är tanken som räknas","إنها النية التي تُحسب","إنما الأعمال بالنيات","Räkna","يعد","Räkna","Räknar","Räknade","Räknat"
56,"Man ska inte döma hunden efter håren","لا يجب الحكم على الكلب من شعره","لا تحكم على الكتاب من غلافه","Döma","يحكم","Döma","Dömer","Dömde","Dömt"
57,"Tredje gången gillt","المرة الثالثة صالحة/مقبولة","التالتة تابتة","Gälla","يسري","Gälla","Gäller","Gällde","Gällt"
58,"Var sak har sin tid","كل شيء له وقته","لكل وقت أذان / كل شيء بوقته حلو","Ha","يملك","Ha","Har","Hade","Haft"
59,"Som man ropar i skogen får man svar","كما تصرخ في الغابة تتلقى الجواب","كما تدين تدان","Ropa","ينادي","Ropa","Ropar","Ropade","Ropat"
60,"Även en blind höna kan hitta ett korn","حتى الدجاجة العمياء قد تجد حبة قمح","رمية من غير رامي","Hitta","يجد","Hitta","Hittar","Hittade","Hittat"
61,"Sova på saken","النوم على الأمر (التفكير فيه لليلة)","الصباح رباح","Sova","ينام","Sova","Sover","Sov","Sovit"
62,"Köpa grisen i säcken","شراء الخنزير داخل الكيس","يشتري سمك في ماء (يشتري المجهول)","Köpa","يشتري","Köpa","Köper","Köpte","Köpt"
63,"Lova guld och gröna skogar","يعد بالذهب والغابات الخضراء","يعده بالمن والسلوى / يبيعه الوهم","Lova","يعد","Lova","Lovar","Lovade","Lovat"
64,"Ha många järn i elden","لديه حديد كثير في النار","مشغول بأكثر من عمل / صاحب بالين كذاب","Ha","يملك","Ha","Har","Hade","Haft"
65,"Slå två flugor i en smäll","ضرب ذبابتين بضربة واحدة","ضرب عصفورين بحجر واحد","Slå","يضرب","Slå","Slår","Slog","Slagit"
66,"Ana ugglor i mossen","يشك بوجود بوم في الطحالب","إن في الأمر شيئاً","Ana","يشك","Ana","Anar","Anade","Anat"
67,"Kosta vad det kosta vill","ليكلّف ما يكلّف","مهما كلف الأمر / بأي ثمن","Kosta","يكلف","Kosta","Kostar","Kostade","Kostat"
68,"Man ska sopa framför sin egen dörr","يجب أن يكنس المرء أمام بابه الخاص","من كان بيته من زجاج.. / انشغل بعيوبك","Sopa","يكنس","Sopa","Sopar","Sopade","Sopat"
69,"Gå över ån efter vatten","يعبر النهر بحثاً عن الماء","يفسر الماء بالماء / يبحث عن الشيء وهو بيده","Gå","يمشي","Gå","Går","Gick","Gått"
70,"Här ligger en hund begraven","هنا يوجد كلب مدفون","في الأمر سر / هنا مربط الفرس","Ligga","يستلقي","Ligga","Ligger","Låg","Legat"
71,"Inte skåda given häst i munnen","لا تنظر في فم حصان مهدى إليك","الهدية لا تُعاب","Skåda","يشاهد","Skåda","Skådar","Skådade","Skådat"
72,"Sätta sista spiken i kistan","وضع المسمار الأخير في التابوت","دق المسمار الأخير في نعشه","Sätta","يضع","Sätta","Sätter","Satte","Satt"
73,"Hålla tummarna","إمساك الإبهامين (للحظ)","يدعو له بالتوفيق / يضع يده على قلبه","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
74,"Ta skeden i vacker hand","أخذ الملعقة باليد الجميلة (الخضوع)","الرضوخ للأمر الواقع","Ta","يأخذ","Ta","Tar","Tog","Tagit"
75,"Lägga lök på laxen","وضع البصل على السلمون (زيادة الأمر سوءاً)","زاد الطين بلة","Lägga","يضع","Lägga","Lägger","La","Lagt"
76,"Få kalla fötter","الحصول على أقدام باردة","جبن / تراجع في اللحظة الأخيرة","Få","يحصل","Få","Får","Fick","Fått"
77,"Ha is i magen","لديه ثلج في المعدة","رابط الجأش / دمه بارد","Ha","يملك","Ha","Har","Hade","Haft"
78,"Väcka den björn som sover","إيقاظ الدب النائم","لا توقظ الفتنة / جاب الديب من ديله","Väcka","يوقظ","Väcka","Väcker","Väckte","Väckt"
79,"Kasta pärlor för svin","رمي اللؤلؤ للخنازير","لا تنثر الدر أمام الخنازير","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
80,"Sätta bocken till trädgårdsmästare","تعيين التيس بستانياً","حاميها حراميها","Sätta","يضع","Sätta","Sätter","Satte","Satt"
81,"En kedja är inte starkare än sin svagaste länk","السلسلة ليست أقوى من أضعف حلقاتها","قوة الجماعة بضعف أفرادها","Vara","يكون","Vara","Är","Var","Varit"
82,"Blod är tjockare än vatten","الدم أثقل من الماء","الدم ما يصير مي (العائلة أولاً)","Vara","يكون","Vara","Är","Var","Varit"
83,"Storm i ett vattenglas","عاصفة في كوب ماء","زوبعة في فنجان","Vara","يكون","Vara","Är","Var","Varit"
84,"Den som söker han finner","من يبحث يجد","من جد وجد / من طلب العلا سهر الليالي","Söka","يبحث","Söka","Söker","Sökte","Sökt"
85,"Ta tjuren vid hornen","إمساك الثور من قرنيه","مواجهة المشكلة بشجاعة","Ta","يأخذ","Ta","Tar","Tog","Tagit"
86,"Vända kappan efter vinden","قلب المعطف حسب الريح","إمعة / مع الماشي ماشي","Vända","يقلب","Vända","Vänder","Vände","Vänt"
87,"Göra en höna av en fjäder","صنع دجاجة من ريشة","يعمل من الحبة قبة","Göra","يصنع","Göra","Gör","Gjorde","Gjort"
88,"Bättre fly än illa fäkta","الهروب أفضل من القتال السيء","الهرب نصف الشجاعة","Fly","يهرب","Fly","Flyr","Flydde","Flytt"
89,"Det som inte dödar härdar","ما لا يقتل يقوي (يصلّب)","الضربة اللي ما تقتلك تقويك","Härda","يقوي","Härda","Härdar","Härdade","Härdat"
90,"Det vattnas i munnen","الماء يجري في الفم","سال لعابه (اشتهاء الشيء)","Vattnas","يسيل","Vattnas","Vattnas","Vattnades","Vattnats"
91,"Ha rent mjöl i påsen","لديه طحين نظيف في الكيس","نواياه سليمة / صفحته بيضاء","Ha","يملك","Ha","Har","Hade","Haft"
92,"Kasta yxan i sjön","رمي الفأس في البحيرة","يئس من الأمر / استسلم","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
93,"Lägga näsan i blöt","وضع الأنف في النقع","يدس أنفه فيما لا يعنيه","Lägga","يضع","Lägga","Lägger","La","Lagt"
94,"Måla fan på väggen","رسم الشيطان على الجدار","توقع الأسوأ / التشاؤم المفرط","Måla","يرسم","Måla","Målar","Målade","Målat"
95,"Inte se skogen för alla träd","عدم رؤية الغابة بسبب كثرة الأشجار","يغرق في التفاصيل ويضيع الصورة الكبيرة","Se","يرى","Se","Ser","Såg","Sett"
96,"Skilja agnarna från vetet","فصل القش عن القمح","تميز الغث من السمين","Skilja","يفصل","Skilja","Skiljer","Skilde","Skilt"
97,"Slå huvudet på spiken","ضرب الرأس على المسمار","أصاب كبد الحقيقة / جابها صح","Slå","يضرب","Slå","Slår","Slog","Slagit"
98,"Stå med båda fötterna på jorden","الوقوف بكلتا القدمين على الأرض","واقعي / متزن / ثابت","Stå","يقف","Stå","Står","Stod","Stått"
99,"Tala ur skägget","التحدث من خارج اللحية","تكلم بوضوح / أفصح عما بداخلك","Tala","يتكلم","Tala","Talar","Talade","Talat"
100,"Trampa i klaveret","الدوس في البيانو/الأكورديون","جاب العيد / ارتكب حماقة محرجة","Trampa","يدوس","Trampa","Trampar","Trampade","Trampat"
101,"Ingen ko på isen","لا توجد بقرة على الجليد","لا داعي للقلق / الأمور بخير","Vara","يكون","Vara","Är","Var","Varit"
102,"Falla mellan stolarna","السقوط بين الكراسي","ضاع في الزحام / سقط سهواً","Falla","يسقط","Falla","Faller","Föll","Fallit"
103,"Sila mygg och svälja kameler","تصفية البعوض وبلع الجمال","يدقق في الصغائر ويتغاضى عن الكبائر","Sila","يصفي","Sila","Silar","Silade","Silat"
104,"Mota Olle i grind","إيقاف (أوله) عند البوابة","وأد الفتنة في مهدها","Mota","يصد","Mota","Motar","Motade","Motat"
105,"Peppar, peppar, ta i trä","فلفل، فلفل، المس الخشب","أمسك الخشب (لدفع الحسد)","Ta","يأخذ","Ta","Tar","Tog","Tagit"
106,"Gå in i väggen","المشي داخل الحائط","الانهيار العصبي / الاحتراق الوظيفي","Gå","يمشي","Gå","Går","Gick","Gått"
107,"Ha tomtar på loftet","لديه أقزام في العلية","ليس بكامل قواه العقلية / مخه لاسع","Ha","يملك","Ha","Har","Hade","Haft"
108,"Kasta in handduken","رمي المنشفة (للداخل)","أعلن الاستسلام","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
109,"Vända andra kinden till","إدارة الخد الآخر","التسامح","Vända","يقلب","Vända","Vänder","Vände","Vänt"
110,"Lägga korten på bordet","وضع البطاقات على الطاولة","كشف المستور / اللعب ع المكشوف","Lägga","يضع","Lägga","Lägger","La","Lagt"
111,"Ha en räv bakom örat","لديه ثعلب خلف الأذن","ماكر / داهية / خبيث","Ha","يملك","Ha","Har","Hade","Haft"
112,"Gå över lik","المشي فوق الجثث","الوصول للغاية بأي وسيلة (بلا رحمة)","Gå","يمشي","Gå","Går","Gick","Gått"
113,"Inte för allt smör i Småland","ليس مقابل كل الزبدة في سمولاند","ولا بكنوز الدنيا / مستحيل أعملها","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
114,"Ta bladet från munnen","أخذ الورقة من الفم","تكلم بصراحة مطلقة / بق البحصة","Ta","يأخذ","Ta","Tar","Tog","Tagit"
115,"Dra åt svångremmen","شد حزام البطن","التقشف / شد الحزام","Dra","يسحب","Dra","Drar","Drog","Dragit"
116,"Leva ur hand i mun","العيش من اليد إلى الفم","رزق اليوم باليوم / عايش ع الكفاف","Leva","يعيش","Leva","Lever","Levde","Levt"
117,"Sitta i klistret","الجلوس في الغراء (الصمغ)","وقع في ورطة / غاص في الوحل","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
118,"Få om bakfoten","الإمساك بالقدم الخلفية","فهم الأمر بشكل خاطئ / فهم بالمقلوب","Få","يحصل","Få","Får","Fick","Fått"
119,"Gå som på räls","يمشي كأنه على قضبان","الأمور تجري بسلاسة / زي السكينة في الحلاوة","Gå","يمشي","Gå","Går","Gick","Gått"
120,"Ha änglavakt","لديه حماية الملائكة","كتب له عمر جديد / نجا بأعجوبة","Ha","يملك","Ha","Har","Hade","Haft"
121,"Kamma noll","تمشيط الصفر","خرج خالي الوفاض / عاد بخفي حنين","Kamma","يمشط","Kamma","Kammar","Kammade","Kammat"
122,"Lägga benen på ryggen","وضع الساقين على الظهر","أطلق ساقيه للريح / هرب مسرعاً","Lägga","يضع","Lägga","Lägger","La","Lagt"
123,"Rinna ut i sanden","التدفق (والضياع) في الرمل","ذهب أدراج الرياح / انتهى إلى لا شيء","Rinna","يسيل","Rinna","Rinner","Rann","Runnit"
124,"Skriva någon på näsan","الكتابة على أنف أحدهم","التنظير على شخص / تلقينه درساً بفظاظة","Skriva","يكتب","Skriva","Skriver","Skrev","Skrivit"
125,"Slå in öppna dörrar","تحطيم أبواب مفتوحة","بذل جهد فيما هو محسوم","Slå","يضرب","Slå","Slår","Slog","Slagit"
126,"Ta sig vatten över huvudet","أخذ ماء فوق الرأس","تورط في ما لا يطيق","Ta","يأخذ","Ta","Tar","Tog","Tagit"
127,"Åka snålskjuts","ركوب توصيلة مجانية (بخيلة)","المتطفل / يعيش عالة على نجاح غيره","Åka","يركب","Åka","Åker","Åkte","Åkt"
128,"Göra en pudel","عمل (حركة) البودل","الاعتذار العلني المذل / التراجع التام","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
129,"Ana argan list","الشك في حيلة غاضبة/خبيثة","الشك في مؤامرة / شم رائحة الخيانة","Ana","يشك","Ana","Anar","Anade","Anat"
130,"Bita i det sura äpplet","قضم التفاحة الحامضة","تجرع الكأس المر / القبول بالأمر الواقع","Bita","يعض","Bita","Biter","Bet","Bitit"
131,"Dansa efter någons pipa","الرقص حسب مزمار شخص ما","خاتم في إصبعه / ينفذ أوامره","Dansa","يرقص","Dansa","Dansar","Dansade","Dansat"
132,"Inte ha alla hästar hemma","ليس لديه كل الخيول في البيت","غبي / عقله ناقص / فيه شي غلط","Ha","يملك","Ha","Har","Hade","Haft"
133,"Kasta pengarna i sjön","رمي النقود في البحيرة","إهدار المال / رمي فلوسه ع الأرض","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
134,"Leva loppan","عيش (حياة) البرغوث","يعبث ويمرح / يصرف ببذخ","Leva","يعيش","Leva","Lever","Levde","Levt"
135,"Sticka under stol med","الإخفاء تحت الكرسي","تكتم على الأمر / أخفى الحقيقة","Sticka","يدس","Sticka","Sticker","Stack","Stuckit"
136,"Vända på slantarna","قلب العملات النقدية","التقتير / حساب كل قرش بدقة","Vända","يقلب","Vända","Vänder","Vände","Vänt"
137,"Vara ute och cykla","أن يكون بالخارج يقود دراجة","يهذي بما لا يعرف / ضائع تماماً في الموضوع","Vara","يكون","Vara","Är","Var","Varit"
138,"Få fötter","الحصول على أقدام (للشيء)","اختفى (سُرق) / فص ملح وداب","Få","يحصل","Få","Får","Fick","Fått"
139,"Hålla tand för tunga","إمساك السن (عض) اللسان","حفظ السر / كتمان الكلام","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
140,"Komma i grevens tid","القدوم في وقت الكونت","جاء في الوقت المناسب تماماً","Komma","يأتي","Komma","Kommer","Kom","Kommit"
141,"Koka soppa på en spik","طبخ حساء من مسمار","اختلاق قصة من لا شيء / يعمل من الفسيخ شربات","Koka","يغلي","Koka","Kokar","Kokade","Kokat"
142,"Lägga vantarna på","وضع القفازات على","الاستيلاء على / لطش","Lägga","يضع","Lägga","Lägger","La","Lagt"
143,"Inte skräda orden","عدم تقطيع/تنقية الكلمات","يتحدث بلا مواربة / يعطيها في الوجه","Skräda","ينقي","Skräda","Skräder","Skrädde","Skrätt"
144,"Slå ner som en bomb","ضرب (سقط) مثل قنبلة","نزل كالصاعقة (للأخبار المفاجئة)","Slå","يضرب","Slå","Slår","Slog","Slagit"
145,"Ta saken i egna händer","أخذ الأمر بالأيدي الخاصة","تولى الزمام بنفسه / استوفى حقه بيده","Ta","يأخذ","Ta","Tar","Tog","Tagit"
146,"Vara på tapeten","يكون على ورق الحائط","حديث الساعة / موضوع مطروح للنقاش","Vara","يكون","Vara","Är","Var","Varit"
147,"Se ljuset i tunneln","رؤية الضوء في النفق","بصيص أمل / الفرج القريب","Se","يرى","Se","Ser","Såg","Sett"
148,"Vara en het potatis","أن تكون بطاطا ساخنة","موضوع شائك / قضية حساسة يتجنبها الجميع","Vara","يكون","Vara","Är","Var","Varit"
149,"Äta kakan och ha den kvar","أكل الكعكة والاحتفاظ بها","يريد الجمع بين النقيضين","Äta","يأكل","Äta","Äter","Åt","Ätit"
150,"Köpa grisen i säcken","شراء الخنزير في الكيس","شراء شيء دون فحصه","Köpa","يشتري","Köpa","Köper","Köpte","Köpt"
