id,swedish_proverb,literal_meaning,arabic_equivalent,verb,verb_translation,verb_infinitive,verb_present,verb_past,verb_supine
324,"Hålla måttet","إمساك القياس","كان على المستوى المطلوب / كفؤ","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
325,"Ta dagen som den kommer","أخذ اليوم كما يأتي","عيش اليوم بيومه / عدم القلق من الغد","Ta","يأخذ","Ta","Tar","Tog","Tagit"
326,"Sätta färg på","وضع لون على","أضفى حيوية / بهج","Sätta","يضع","Sätta","Sätter","Satte","Satt"
327,"Kasta ett öga på","رمي عين على","ألقى نظرة سريعة","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
328,"Slå larm","ضرب الإنذار","دق ناقوس الخطر","Slå","يضرب","Slå","Slår","Slog","Slagit"
329,"Vara på håret","أن يكون على الشعرة","وشيك جداً / كاد أن يحدث","Vara","يكون","Vara","Är","Var","Varit"
330,"Gå sin egen väg","المشي في طريقه الخاص","استقل برأيه / شق طريقه بنفسه","Gå","يمشي","Gå","Går","Gick","Gått"
331,"Inte göra en fluga förnär","عدم إيذاء ذبابة","مسالم جداً / لا يهش ولا ينش","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
332,"Lita blint på","الثقة بشكل أعمى بـ","وثق ثقة عمياء","Lita","يثق","Lita","Litar","Litade","Litat"
333,"Ha skruvar lösa","لديه براغي مفكوكة","مجنون / عقله فيه لوثة","Ha","يملك","Ha","Har","Hade","Haft"
334,"Hålla skenet uppe","إبقاء المظهر عالياً","حفظ ماء الوجه / تظاهر بأن الأمور بخير","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
335,"Ge med sig","الإعطاء مع النفس","استسلم / لانَ جانبه / وافق بعد رفض","Ge","يعطي","Ge","Ger","Gav","Gett"
336,"Falla pusselbitarna på plats","سقوط قطع الأحجية في مكانها","اتضحت الصورة / فهم الأمر","Falla","يسقط","Falla","Faller","Föll","Fallit"
337,"Dra en gräns","سحب (رسم) حد","وضع حداً للأمر","Dra","يسحب","Dra","Drar","Drog","Dragit"
338,"Gå över gränsen","المشي فوق الحد","تجاوز الحدود / تمادى","Gå","يمشي","Gå","Går","Gick","Gått"
339,"Möta väggen","ملاقاة الحائط","أصيب بالاحتراق النفسي / انهار من الإرهاق","Möta","يقابل","Möta","Möter","Mötte","Mött"
340,"Gå på tomgång","المشي على اللاحمل (الخمول)","توقف عن التطور / يراوح مكانه","Gå","يمشي","Gå","Går","Gick","Gått"
341,"Ta sig ton","أخذ نغمة (لنفسه)","رفع صوته / تحدث بغطرسة","Ta","يأخذ","Ta","Tar","Tog","Tagit"
342,"Stå inför rätta","الوقوف أمام العدالة","مثل أمام القضاء","Stå","يقف","Stå","Står","Stod","Stått"
343,"Äta någon ur huset","أكل شخص خارج المنزل","أكله لحم ورمي عظمه","Äta","يأكل","Äta","Äter","Åt","Ätit"
344,"Sitta säkert i sadeln","الجلوس بأمان في السرج","متمكن من منصبه / وضعه مستقر","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
345,"Krypa ur skinnet","الزحف خارج الجلد","يجن جنونه (من الغضب أو الملل)","Krypa","يزحف","Krypa","Kryper","Kröp","Krupit"
346,"Slå huvudet i väggen","ضرب الرأس في الحائط","يواجه طريقاً مسدوداً / محاولة عبثية","Slå","يضرب","Slå","Slår","Slog","Slagit"
347,"Vara i ropet","أن يكون في الصراخ (الشهرة)","مشهور / حديث الناس","Vara","يكون","Vara","Är","Var","Varit"
348,"Ligga i luften","الاستلقاء في الهواء","وشيك الحدوث / شيء محسوس في الجو","Ligga","يستلقي","Ligga","Ligger","Låg","Legat"
349,"Ta udden av","أخذ الطرف (المدبب) من","خفف من حدة الأمر","Ta","يأخذ","Ta","Tar","Tog","Tagit"
350,"Gå rakt på sak","المشي مباشرة إلى الشيء (الموضوع)","دخل في صلب الموضوع مباشرة","Gå","يمشي","Gå","Går","Gick","Gått"
351,"Ha huvudet på skaft","امتلاك الرأس على المقبض","ذكي / نبيه / مخه شغال","Ha","يملك","Ha","Har","Hade","Haft"
352,"Ta det kallt","أخذه ببرود","هدي أعصابك / لا تنفعل","Ta","يأخذ","Ta","Tar","Tog","Tagit"
353,"Få foten","الحصول على القدم","طُرد من العمل / تفنش","Få","يحصل","Få","Får","Fick","Fått"
354,"Gå i däck","الذهاب إلى سطح السفينة (سقوط)","سقط من التعب / غلبه النوم","Gå","يمشي","Gå","Går","Gick","Gått"
355,"Ha gröna fingrar","امتلاك أصابع خضراء","ماهر في الزراعة / يده خضراء","Ha","يملك","Ha","Har","Hade","Haft"
356,"Göra en tavla","عمل لوحة (فنية)","ارتكب حماقة / أخطأ خطأً فادحاً","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
357,"Vara under isen","أن تكون تحت الجليد","مكتئب / يمر بظروف سيئة جداً","Vara","يكون","Vara","Är","Var","Varit"
358,"Ta i så det knakar","السحب/الشد حتى يطقطق","بذل جهداً خارقاً / عمل بجدية قصوى","Ta","يأخذ","Ta","Tar","Tog","Tagit"
359,"Vara i sjunde himlen","أن تكون في السماء السابعة","في قمة السعادة / طاير من الفرح","Vara","يكون","Vara","Är","Var","Varit"
360,"Gå på tandköttet","المشي على اللثة","منهك تماماً / واصل حده","Gå","يمشي","Gå","Går","Gick","Gått"
361,"Ha myror i brallorna","امتلاك نمل في السروال","لا يستطيع الجلوس (قلق/متحمس)","Ha","يملك","Ha","Har","Hade","Haft"
362,"Inte ha ett rött öre","لا يملك أورة (عملة) حمراء","مفلس تماماً / على الحديدة","Ha","يملك","Ha","Har","Hade","Haft"
363,"Se sanningen i vitögat","رؤية الحقيقة في بياض العين","مواجهة الواقع المر","Se","يرى","Se","Ser","Såg","Sett"
364,"Slå sig till ro","ضرب (نفسه) للهدوء","استقر / اطمأن","Slå","يضرب","Slå","Slår","Slog","Slagit"
365,"Stå vid sitt ord","الوقوف عند كلمته","وفى بوعده / عند كلمته","Stå","يقف","Stå","Står","Stod","Stått"
366,"Ta för sig","الأخذ لنفسه","يتصرف بجرأة / يغتنم الفرص","Ta","يأخذ","Ta","Tar","Tog","Tagit"
367,"Ligga på latsidan","الاستلقاء على الجانب الكسول","تكاسل / تقاعس عن العمل","Ligga","يستلقي","Ligga","Ligger","Låg","Legat"
368,"Få napp","الحصول على عضة (للسمك)","نجح في مسعاه / لقى صيدته","Få","يحصل","Få","Får","Fick","Fått"
369,"Gå i fällan","المشي إلى المصيدة","وقع في الفخ","Gå","يمشي","Gå","Går","Gick","Gått"
370,"Ha långa fingrar","امتلاك أصابع طويلة","يمده يده (حرامي) / سارق","Ha","يملك","Ha","Har","Hade","Haft"
371,"Hålla truten","إمساك الخرطوم (الفم)","أغلق فمك / اخرس (عامية)","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
372,"Kamma sig","تمشيط شعره","تأدب / حسن تصرفك (تقال للتوبيخ)","Kamma","يمشط","Kamma","Kammar","Kammade","Kammat"
373,"Lägga ihop två och två","وضع اثنين واثنين معاً","فهم الأمر / استنتج الحقيقة","Lägga","يضع","Lägga","Lägger","La","Lagt"
374,"Sitta still i båten","الجلوس بهدوء في القارب","حافظ على الهدوء / لا تثير الذعر","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
375,"Sticka huvudet i sanden","غرس الرأس في الرمل","تجاهل المشكلة / كالنعامة","Sticka","يغرز","Sticka","Sticker","Stack","Stuckit"
376,"Ta åt sig äran","أخذ الشرف لنفسه","نسب الفضل لنفسه","Ta","يأخذ","Ta","Tar","Tog","Tagit"
377,"Vara i farten","أن يكون في السرعة/الحركة","نشيط / مشغول بعمل شيء ما","Vara","يكون","Vara","Är","Var","Varit"
378,"Gå på pumpen","المشي على المضخة","فشل / اصطدم بواقع مرير","Gå","يمشي","Gå","Går","Gick","Gått"
379,"Ha pippi på något","لديه عصفور على شيء","مهووس بشيء ما / عنده هوس","Ha","يملك","Ha","Har","Hade","Haft"
380,"Kasta ut barnet med badvattnet","رمي الطفل مع ماء الاستحمام","تخلص من الجيد مع السيء","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
381,"Trampa vatten","دوس الماء","يراوح مكانه / لا يتقدم","Trampa","يدوس","Trampa","Trampar","Trampade","Trampat"
382,"Hålla i plånboken","الإمساك بالمحفظة","يقتصد / يمسك يده (بخيل)","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
383,"Vara dum som en gås","أن يكون غبياً كإوزة","غبي جداً","Vara","يكون","Vara","Är","Var","Varit"
384,"Skilja på sak och person","الفصل بين القضية والشخص","الموضوعية / عدم شخصنة الأمور","Skilja","يفصل","Skilja","Skiljer","Skilde","Skilt"
385,"Tala klarspråk","التحدث بلغة واضحة","تحدث بصراحة ووضوح / سمى الأشياء بمسمياتها","Tala","يتحدث","Tala","Talar","Talade","Talat"
386,"Gå i bitar","الذهاب في قطع","تحطم / انهار نفسياً","Gå","يمشي","Gå","Går","Gick","Gått"
387,"Få kalla kårar","الحصول على قشعريرة باردة","اقشعر بدنه (من الخوف)","Få","يحصل","Få","Får","Fick","Fått"
388,"Ha nio liv","لديه تسعة أرواح","قط بسبع أرواح / ينجو دائماً","Ha","يملك","Ha","Har","Hade","Haft"
389,"Inte lyfta ett finger","عدم رفع إصبع","سلبي / لم يحرك ساكناً","Lyfta","يرفع","Lyfta","Lyfter","Lyfte","Lyft"
390,"Kosta fläsk","يكلف لحم خنزير","غالي الثمن جداً","Kosta","يكلف","Kosta","Kostar","Kostade","Kostat"
391,"Sätta punkt för","وضع نقطة لـ","أنهى الأمر / وضع حداً","Sätta","يضع","Sätta","Sätter","Satte","Satt"
392,"Slå sig i slang med","ضرب نفسه في خرطوم (حوار) مع","تجاذب أطراف الحديث مع","Slå","يضرب","Slå","Slår","Slog","Slagit"
393,"Stå i skuld till","الوقوف في دين لـ","مدين لـ / عليه دين","Stå","يقف","Stå","Står","Stod","Stått"
394,"Ta parti för","أخذ حزباً (جانباً) لـ","انحاز لـ / وقف في صف","Ta","يأخذ","Ta","Tar","Tog","Tagit"
395,"Vara på krigsstigen","أن يكون على درب الحرب","مشمر عن ساعديه (للقتال) / ناوي شر","Vara","يكون","Vara","Är","Var","Varit"
396,"Äta upp någon","أكل شخص ما","وبخه بشدة / سيطر عليه تماماً","Äta","يأكل","Äta","Äter","Åt","Ätit"
397,"Bita sig i tungan","عض اللسان","ندم على كلامه / أمسك لسانه","Bita","يعض","Bita","Biter","Bet","Bitit"
398,"Dra en lans för","سحب رمح لأجل","دافع عن / ناصر قضية","Dra","يسحب","Dra","Drar","Drog","Dragit"
399,"Få sina fiskar varma","الحصول على أسماكه ساخنة","نال توبيخاً ساخناً / أكل بهدلة","Få","يحصل","Få","Får","Fick","Fått"
400,"Gå ur tiden","الخروج من الزمن","توفي / انتقل إلى رحمة الله","Gå","يمشي","Gå","Går","Gick","Gått"
401,"Ta det säkra före det osäkra","أخذ الآمن قبل غير الآمن","في التأني السلامة","Ta","يأخذ","Ta","Tar","Tog","Tagit"
402,"Veta var skon klämmer","معرفة أين يقرص الحذاء","يعرف موطن العلة / يعرف البير وغطاه","Veta","يعرف","Veta","Vet","Visste","Vetat"
403,"Gå åt skogen","الذهاب إلى الغابة (الضياع)","فشل الأمر برمته / راحت عليه","Gå","يمشي","Gå","Går","Gick","Gått"
404,"Sätta ner foten","وضع القدم للأسفل","حسم الأمر / اتخذ موقفاً حازماً","Sätta","يضع","Sätta","Sätter","Satte","Satt"
405,"Höra gräset gro","سماع العشب ينمو","شديد النباهة / يسمع دبيب النمل","Höra","يسمع","Höra","Hör","Hörde","Hört"
406,"Hålla masken","إمساك القناع","حافظ على هدوئه (رغم الانفعال)","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
407,"Vara på vippen","أن يكون على الحافة (الأرجوحة)","على وشك الحدوث / قاب قوسين أو أدنى","Vara","يكون","Vara","Är","Var","Varit"
408,"Slå näven i bordet","ضرب القبضة في الطاولة","أظهر الحزم / طالب بالانتباه","Slå","يضرب","Slå","Slår","Slog","Slagit"
409,"Dra timmerstockar","سحب جذوع خشبية","يشخر بصوت عالٍ","Dra","يسحب","Dra","Drar","Drog","Dragit"
410,"Bränna sitt ljus i båda ändar","حرق شمعته من الطرفين","يستنزف طاقته بالعمل والسهر / يهلك نفسه","Bränna","يحرق","Bränna","Bränner","Brände","Bränt"
411,"Lägga på hyllan","الوضع على الرف","أجل الموضوع / اعتزل (للرياضيين)","Lägga","يضع","Lägga","Lägger","La","Lagt"
412,"Ha många strängar på sin lyra","لديه أوتار كثيرة على قيثارته","متعدد المواهب","Ha","يملك","Ha","Har","Hade","Haft"
413,"Komma till skott","الوصول إلى الطلقة (الرمي)","انتقل من القول للفعل / نفذ أخيراً","Komma","يأتي","Komma","Kommer","Kom","Kommit"
414,"Vara dum som ett spån","أن يكون غبياً مثل نشارة الخشب","غبي جداً / مخه تخين","Vara","يكون","Vara","Är","Var","Varit"
415,"Gå bärsärkagång","المشي كالبيرسيركر (المحارب الهائج)","هاج وماج / حطم كل شيء أمامه","Gå","يمشي","Gå","Går","Gick","Gått"
416,"Kasta skit på någon","رمي القاذورات على أحد","قذف بالكلام / شتم / شهر بـ","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
417,"Få spel","الحصول على نوبة","فقد عقله / جن جنونه (مؤقتاً)","Få","يحصل","Få","Får","Fick","Fått"
418,"Vända ut och in på sig själv","قلب نفسه من الداخل للخارج","بذل المستحيل لإرضاء غيره","Vända","يقلب","Vända","Vänder","Vände","Vänt"
419,"Bita ifrån","العض (للدفع)","دافع عن نفسه (لفظياً) / رد الهجوم","Bita","يعض","Bita","Biter","Bet","Bitit"
420,"Leva som en kung","العيش كملك","يعيش في رغد / مرفه","Leva","يعيش","Leva","Lever","Levde","Levt"
421,"Få sparken","الحصول على الركلة","طرد من العمل","Få","يحصل","Få","Får","Fick","Fått"
422,"Ge upp andan","إعطاء (تسليم) النفس/الروح","لفظ أنفاسه الأخيرة / مات","Ge","يعطي","Ge","Ger","Gav","Gett"
423,"Hålla ställningarna","إمساك المواقع","صمد في موقعه / ناب عن البقية","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
424,"Gå på högvarv","المشي (الدوران) بسرعة عالية","يعمل بطاقة قصوى / متوتر ومضغوط","Gå","يمشي","Gå","Går","Gick","Gått"
425,"Sätta sig på tvären","الجلوس بشكل معترض","عارض بعناد / وضع العراقيل","Sätta","يضع","Sätta","Sätter","Satte","Satt"
426,"Vara en nagel i ögat","أن يكون مسماراً في العين","شوكة في الحلق / مصدر إزعاج دائم","Vara","يكون","Vara","Är","Var","Varit"
427,"Leka med elden","اللعب بالنار","يخاطر / يلعب بالنار","Leka","يلعب","Leka","Leker","Lekte","Lekt"
428,"Kosta mer än det smakar","يكلف أكثر مما له من طعم","مجهوده أكثر من فائدته","Kosta","يكلف","Kosta","Kostar","Kostade","Kostat"
429,"Slå blå dunster i ögonen","ضرب أبخرة زرقاء في العيون","ذر الرماد في العيون / خدع","Slå","يضرب","Slå","Slår","Slog","Slagit"
430,"Stå på öronen","الوقوف على الأذنين","سقط بقوة / تعثر","Stå","يقف","Stå","Står","Stod","Stått"
431,"Ta priset","أخذ الجائزة","فاق التوقعات / هذا قمة المهزلة","Ta","يأخذ","Ta","Tar","Tog","Tagit"
432,"Vara uppåt väggarna","أن يكون (صاعداً) على الجدران","أمر سخيف / خاطئ تماماً","Vara","يكون","Vara","Är","Var","Varit"
433,"Få en syl i vädret","الحصول على مخفر في الطقس","استطاع أن ينطق بكلمة","Få","يحصل","Få","Får","Fick","Fått"
434,"Gå i kras","الذهاب في تحطم","تكسر / فشل تماماً","Gå","يمشي","Gå","Går","Gick","Gått"
435,"Ha spenderbyxorna på","ارتداء سراويل الإنفاق","يصرف ببذخ (اليوم) / كريم بزيادة","Ha","يملك","Ha","Har","Hade","Haft"
436,"Kasta veven","رمي ذراع التدوير","استسلم / مات (عامية)","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
437,"Lägga i malpåse","الوضع في كيس العث","جمد المشروع / وضعه جانباً","Lägga","يضع","Lägga","Lägger","La","Lagt"
438,"Slå till","الضرب (لإتمام شيء)","وافق على العرض / انتهز الفرصة فوراً","Slå","يضرب","Slå","Slår","Slog","Slagit"
439,"Sätta sprätt på pengarna","جعل النقود تتطاير","بذر ماله / صرف كل شيء","Sätta","يضع","Sätta","Sätter","Satte","Satt"
440,"Ta någon i örat","أخذ شخص من الأذن","وبخه / أدبه","Ta","يأخذ","Ta","Tar","Tog","Tagit"
441,"Vara på tunn is","أن يكون على جليد رقيق","في موقف ضعيف / يخاطر","Vara","يكون","Vara","Är","Var","Varit"
442,"Äta med ögonen","الأكل بالعيون","يشتهي بشدة (بصره)","Äta","يأكل","Äta","Äter","Åt","Ätit"
443,"Bygga bo","بناء عش","استقر / أسس منزلاً","Bygga","يبني","Bygga","Bygger","Byggde","Byggt"
444,"Dra det tyngsta lasset","سحب الحمولة الأثقل","تحمل العبء الأكبر","Dra","يسحب","Dra","Drar","Drog","Dragit"
445,"Falla på eget grepp","السقوط بمسكته الخاصة","وقع في شر أعماله","Falla","يسقط","Falla","Faller","Föll","Fallit"
446,"Gå upp i limningen","الصعود في الغراء (التفكك)","فقد أعصابه / انهار","Gå","يمشي","Gå","Går","Gick","Gått"
447,"Hålla hus","إمساك منزل (التواجد)","يتواجد / أين هو مختبئ؟","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
448,"Komma till korta","المجيء للقصير (النقص)","فشل في المنافسة / لم يكن كافياً","Komma","يأتي","Komma","Kommer","Kom","Kommit"
449,"Leva rullan","عيش الدحروجة (الفوضى)","عربد / سهر واحتفل بصخب","Leva","يعيش","Leva","Lever","Levde","Levt"
450,"Lägga på hullet","الوضع على اللحم","زاد وزنه / سمن","Lägga","يضع","Lägga","Lägger","La","Lagt"
451,"Ta seden dit man kommer","أخذ العادة إلى حيث يأتي المرء","يا غريب كن أديب","Ta","يأخذ","Ta","Tar","Tog","Tagit"
452,"Tala om trollen","التحدث عن المتصيدين","أذكر القط يجيلك ينط","Tala","يتحدث","Tala","Talar","Talade","Talat"
453,"Gå i god för","المشي في (ضمان) جيد لـ","يكفل شخصاً / يضمنه","Gå","يمشي","Gå","Går","Gick","Gått"
454,"Hålla huvudet kallt","إبقاء الرأس بارداً","حافظ على هدوئك / لا تتوتر","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
455,"Få upp ögonen för","فتح العيون لأجل","أدرك الأمر / انتبه لشيء غافل عنه","Få","يحصل","Få","Får","Fick","Fått"
456,"Slå in på en ny väg","الضرب (الدخول) في طريق جديد","سلك مسلكاً جديداً / غير نمط حياته","Slå","يضرب","Slå","Slår","Slog","Slagit"
457,"Sitta fint","الجلوس بشكل جميل","جاء في وقته تماماً / ناسب الوضع","Sitta","يجلس","Sitta","Sitter","Satt","Suttit"
458,"Spela med öppna kort","اللعيب بأوراق مفتوحة","كان صريحاً / كشف كل أوراقه","Spela","يلعب","Spela","Spelar","Spelade","Spelat"
459,"Tappa tråden","إسقاط الخيط","فقد حبل أفكاره / نسي ما كان يقول","Tappa","يسقط","Tappa","Tappar","Tappade","Tappat"
460,"Vara i blåsväder","أن يكون في طقس عاصف","في مهب الريح / يواجه انتقادات لاذعة","Vara","يكون","Vara","Är","Var","Varit"
461,"Göra rent bord","عمل طاولة نظيفة","بدأ صفحة بيضاء / سوى كل الديون","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
462,"Kasta ljus över","رمي الضوء فوق","سلط الضوء على / أوضح","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
463,"Lägga ord i munnen på någon","وضع كلمات في فم أحدهم","تقويل الشخص ما لم يقل","Lägga","يضع","Lägga","Lägger","La","Lagt"
464,"Ta någon på orden","أخذ شخص على الكلمات","صدقه حرفياً / أخذ بكلامه","Ta","يأخذ","Ta","Tar","Tog","Tagit"
465,"Sätta allt på ett kort","وضع الكل على ورقة واحدة","غامر بكل شيء / ضربة حظ واحدة","Sätta","يضع","Sätta","Sätter","Satte","Satt"
466,"Vara en fena på","أن يكون زعنفة في","بارع جداً في / حريف","Vara","يكون","Vara","Är","Var","Varit"
467,"Snacka smörja","تحدث (بالهراء/الشحم)","يقول كلاماً فارغاً / يهذي","Snacka","يتحدث","Snacka","Snackar","Snackade","Snackat"
468,"Ha ögon i nacken","امتلاك عيون في الرقبة","حذر جداً / يرى ما خلفه","Ha","يملك","Ha","Har","Hade","Haft"
469,"Gå igenom eld och vatten","المشي خلال النار والماء","يفعل المستحيل لأجل شخص","Gå","يمشي","Gå","Går","Gick","Gått"
470,"Sätta tänderna i","وضع الأسنان في","انكب على العمل بحماس / استلم المهمة","Sätta","يضع","Sätta","Sätter","Satte","Satt"
471,"Inte vara torr bakom öronen","غير جاف خلف الأذنين","غير ناضج / ما زال صغيراً","Vara","يكون","Vara","Är","Var","Varit"
472,"Vara het på gröten","أن يكون حاراً على العصيدة","متحمس بزيادة / مستعجل","Vara","يكون","Vara","Är","Var","Varit"
473,"Ha ett gott öga till","لديه عين جيدة لـ","يستلطف شخصاً / معجب بـ","Ha","يملك","Ha","Har","Hade","Haft"
474,"Slå vakt om","ضرب حراسة حول","دافع عن / حمى","Slå","يضرب","Slå","Slår","Slog","Slagit"
475,"Komma på fötter","المجيء على الأقدام","تعافى (اقتصادياً/صحياً) / وقف على رجليه","Komma","يأتي","Komma","Kommer","Kom","Kommit"
476,"Göra storkovan","عمل المغرفة الكبيرة","ربح مبلغاً طائلاً","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
477,"Rycka upp sig","سحب النفس للأعلى","تمالك نفسه / تحسن وضعه النفسي","Rycka","يسحب","Rycka","Rycker","Ryckte","Ryckt"
478,"Slå till reträtt","ضرب للتراجع","انسحب / تراجع","Slå","يضرب","Slå","Slår","Slog","Slagit"
479,"Leka kurragömma","لعب الغميضة","يتهرب من المسؤولية / يختبئ","Leka","يلعب","Leka","Leker","Lekte","Lekt"
480,"Bita sig fast","عض (النفس) بقوة وثبات","تشبث / صمد بعناد","Bita","يعض","Bita","Biter","Bet","Bitit"
481,"Gå till botten med","الذهاب للقاع بـ","تقصى الحقيقة كاملة / جذور المشكلة","Gå","يمشي","Gå","Går","Gick","Gått"
482,"Vända på varenda sten","قلب كل حجر","بحث بدقة متناهية","Vända","يقلب","Vända","Vänder","Vände","Vänt"
483,"Ha tumme med någon","امتلاك إبهام مع شخص","لديه نفوذ عند / علاقته قوية بـ","Ha","يملك","Ha","Har","Hade","Haft"
484,"Tala med kluven tunga","التحدث بلسان مشقوق","ينافق / يقول شيئاً ويفعل آخراً","Tala","يتحدث","Tala","Talar","Talade","Talat"
485,"Möta sitt öde","ملاقاة المصير","واجه قدره","Möta","يقابل","Möta","Möter","Mötte","Mött"
486,"Köra sitt eget race","قيادة السباق الخاص","يعمل على طريقته الخاصة","Köra","يقود","Köra","Kör","Körde","Kört"
487,"Slå på trumman för","الضرب على الطبل لـ","روّج لـ / أعلن بقوة","Slå","يضرب","Slå","Slår","Slog","Slagit"
488,"Vara på upphällningen","أن يكون على السكب (النهاية)","أوشك على النفاد / يلفظ أنفاسه","Vara","يكون","Vara","Är","Var","Varit"
489,"Följa strömmen","اتباع التيار","مع الخيل يا شقرا / ساير الناس","Följa","يتبع","Följa","Följer","Följde","Följt"
490,"Gå mot strömmen","المشي ضد التيار","خالف السائد / سبح عكس التيار","Gå","يمشي","Gå","Går","Gick","Gått"
491,"Hålla fanan högt","إبقاء الراية عالية","حافظ على المبادئ / لم يستسلم","Hålla","يمسك","Hålla","Håller","Höll","Hållit"
492,"Ge igen","الإعطاء مرة أخرى","انتقم / رد الصاع","Ge","يعطي","Ge","Ger","Gav","Gett"
493,"Inte ha alla koppar i skåpet","ليس لديه كل الأكواب في الخزانة","مجنون / عقله ليس في مكانه","Ha","يملك","Ha","Har","Hade","Haft"
494,"Måla upp en bild","رسم صورة (لأعلى)","وصف الوضع / شرح السيناريو","Måla","يرسم","Måla","Målar","Målade","Målat"
495,"Ta kål på","أخذ الكرنب على (قتل)","قضى عليه / أهلكه","Ta","يأخذ","Ta","Tar","Tog","Tagit"
496,"Få gråa hår","الحصول على شعر رمادي","شاب رأسه (من الهم)","Få","يحصل","Få","Får","Fick","Fått"
497,"Sticka i ögonen","الوخز في العيون","أثار الحسد / كان مستفزاً","Sticka","يغرز","Sticka","Sticker","Stack","Stuckit"
498,"Dra sig ur","سحب النفس للخارج","انسحب من الاتفاق / تراجع","Dra","يسحب","Dra","Drar","Drog","Dragit"
499,"Kasta ankar","رمي المرساة","استقر / حط رحاله","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
500,"Slutet gott, allting gott","النهاية جيدة، كل شيء جيد","ختامها مسك / العبرة بالخواتيم","Vara","يكون","Vara","Är","Var","Varit"